PC1,PC2
-63.32719894828527,0.13548198724345706
-63.3619623100452,0.1477392339361081
-63.338766708539296,0.18619833829244192
-63.33113666479373,0.05957291083386851
-63.37435434011564,0.1963326560840265
-63.37904217455677,0.16975326827325188
-63.32979364630805,0.05664031155063076
-63.38192857037799,0.23474424292975837
-63.346126850403195,0.04559316418964099
-63.35617768874782,0.016327529305318444
-63.31439474576045,-0.1502430152257057
-63.382473147237114,-0.09174633598562387
-63.35599576831978,-0.08549245815097706
-63.3526343598149,-0.11583984330325914
-63.33996157030277,-0.010118210565428831
-63.33334943024134,0.09758545089188408
-63.32860671115747,0.03004590374203997
-63.3885659155207,0.1475124634432855
-63.349365470642354,0.06270254696764721
-63.32314469155442,-0.14256125091542982
-63.33664327231366,-0.1036923888655591
-63.36145927363903,-0.12968449650122948
-63.383246653462294,-0.1392223369466855
-63.31306445138593,-0.12203919829634047
-63.392311752119845,0.04092983518440929
-63.32330046838739,0.07611725817461534
-63.32988771184524,0.10605171867117391
-63.36631112186046,0.15713468395511487
-63.33250993644744,0.1893229697466945
-63.357541311064644,0.11930632944514385
-63.360388430220404,0.1637364528364179
-63.35366824109649,0.01492046163473515
-63.31936475751496,0.017979779510414073
-63.32390010729689,-0.03734471936672601
-63.3881158063233,0.1577137994683957
-63.3218741818128,0.09075175121044021
-63.3829489539723,0.22939636962677268
-63.32766044708736,0.16783022945059323
-63.38499547805399,0.2868992108240986
-63.34770772446538,0.23308908242370807
-63.3875461569576,0.11909423649789008
-63.36789185769509,-0.004263353021219385
-63.35411689986503,-0.1393517593974961
-63.31350455901231,-0.279199241438562
-63.365289873510775,-0.1945345563909313
-63.34730025102261,-0.34628285459984576
-63.36297416694377,-0.3651498412981464
-63.32996680413223,-0.41812188491082525
-63.328329185130144,-0.45784438716192266
-63.382621473893906,-0.429985334076894
-63.34774539872117,-0.3597884181931823
-63.312480601392565,-0.2976499679385949
-63.349806768840224,-0.08160363894522382
-63.36115991515335,0.011456894765788261
-63.32809987783365,-0.11436678096750397
-63.36977407503325,-0.013988874757660641
-63.32080815269651,-0.07869201628302358
-63.39118118275489,0.11658357998134217
-63.34732909969941,0.18930150154882697
-63.36376215649471,0.19612576624079003
-63.346991897470375,0.2553587896428152
-63.34252165472219,0.16233990924133357
-63.33851885921872,0.08118204558255138
-63.33295889593089,0.16265016818026656
-63.35658854187889,0.1285252646336018
-63.383471501812416,0.20053586070792262
-63.33772145226088,0.07302716321987068
-63.34223620229085,-0.07581392083408534
-63.363877584763465,0.014482378193519052
-63.33481708125809,0.01887392839190949
-63.38910040898781,0.29244053143950977
-63.34709165848863,0.38015480929546747
-63.3479511530417,0.40457129659008684
-63.34766400565368,0.4768350510451768
-63.3783793840929,0.4558279494744305
-63.33133725423357,0.19005913273920783
-63.339862326676695,0.11028380134900584
-63.370420902256924,0.13420622516780423
-63.38750498095368,0.09243368088419601
-63.311277944396345,-0.0825849015817064
-63.34341157635343,-0.1364348279588813
-63.34317898774801,-0.2504037170527744
-63.34006847318567,-0.2070130906380243
-63.351800714264456,-0.2764355870273598
-63.38278542138048,-0.17256790473542127
-63.32830952454346,-0.2188387883143107
-63.33907160352507,-0.18709148285527255
-63.35015882025264,-0.17570874717845564
-63.30959272707817,-0.0741723736576474
-63.38739663573993,0.06746461148726957
-63.34042039393856,0.15072782865730638
-63.336057399275354,0.12599104042106213
-63.37810292036268,0.28321825656707866
-63.388783244333545,0.35672812045942065
-63.3799564236176,0.2359925924422105
-63.32259594117967,0.1315697132584991
-63.37878029119636,0.16883938954562672
-63.34218709565826,0.0982786079184631
-63.37214955058148,0.059072505910387374
-63.34162771023843,0.06721990588063564
-63.38803329103682,0.13548642866179106
-63.32718872910389,0.03446001200405757
-63.358261404535895,0.1533959914810511
-63.33647121862124,0.11184933646704609
-63.32030513043765,0.015113215818089665
-63.34082815540791,0.08057110414235635
-63.38261362727709,0.17234028590799733
-63.328448993726056,0.07321088581702528
-63.388282387294154,0.26896129423101744
-63.38247262015958,0.38752802653321833
-63.324399985702485,0.34219763445123785
-63.34724535067528,0.4105692415135795
-63.32261829493241,0.2327569401121885
-63.359129662186845,0.13435653886319454
-63.37477095177289,-0.04914760092540793
-63.3674602761344,-0.08023915758963795
-63.35246378725214,-0.2120536642395029
-63.3126261826117,-0.15941108050092057
-63.32258740814267,-0.10812641276845547
-63.38655085121259,0.12166392691244077
-63.32894445318933,0.07893522328419511
-63.313347362109745,0.08957846586699403
-63.3934912096097,0.10552352849559321
-63.367215132708054,0.06781309775572952
-63.328917139565476,-0.00871882031648552
-63.36499938012414,0.01289870394027115
-63.33811642453122,0.005709664368172995
-63.34185555287503,0.03839207145883672
-63.35907745970387,0.017824675260867395
-63.34180527697875,-0.04107864628701108
-63.35858905959337,-0.0884370656475918
-63.3585445523086,-0.11191980812818514
-63.313804509831556,-0.2873914788902563
-63.35810683856839,-0.3147937322412795
-63.32859090418323,-0.3586062189305892
-63.3476402291764,-0.3038954436839427
-63.32217176000955,-0.24825361666818324
-63.37746009061913,0.04707255771633567
-63.35505029527652,0.16478229298264646
-63.33474956652512,0.14744443877441682
-63.36073747904226,0.1736981786705719
-63.35624880819172,0.24774974412976258
-63.3639049437453,0.22721366673813448
-63.328347294934765,0.023420176264932313
-63.31517171436157,0.017930244835447695
-63.26580922406535,0.003463607399828872
-63.25734639589295,0.09459603235212644
-63.18549057189339,0.14943214651085746
-63.19082683566998,0.22090829016575186
-63.06938583582765,0.17846901815341898
-63.083242933262355,0.3085861580852964
-62.98686978290742,0.1637885543555594
-62.95672919171379,0.06947505486549854
-62.869353364144864,-0.008209764533397279
-62.839770679958676,-0.022429206095715748
-62.83032875575887,0.011386707098296256
-62.74566809419079,-0.016045155383903942
-62.71398509538063,-0.05738565258849071
-62.700363235183744,0.08763571910060464
-62.595683898919006,0.013289529857737459
-62.59477453556772,0.19828860730532605
-62.520273981901504,0.23812803405384397
-62.45434560137589,0.11774590249963535
-62.436087347185186,0.22105970742362224
-62.40988244459661,0.18574526161870009
-62.313702622839315,0.10113527279128154
-62.26370141761565,0.1985451874476294
-62.251342955667695,0.17199096853875606
-62.18877061540191,0.11779351683932948
-62.091333063657096,-0.03469603628510942
-62.08080056633047,-0.15538982794472722
-62.04433981968522,-0.08137723732515256
-62.00457461477209,-0.0021150528781571643
-61.960206425144094,0.12472533479377934
-61.916238095751275,0.2496943909737378
-61.87246258108667,0.3194380880192316
-61.82773839192467,0.31203157941642923
-61.77901310416581,0.22811704587914883
-61.72804467207431,0.07533444315114224
-61.6817571893563,-0.12949497135906507
-61.62112110101716,-0.21936374031620998
-61.57236528305065,-0.23334396401729807
-61.53912181067051,-0.2136490494579224
-61.46513968515986,-0.1540395701424705
-61.41114568833355,-0.09222417633608826
-61.367066366477275,0.04827796642838844
